field_name;field_label_en;field_label_ar
General_Protection_Establishment_or_support_of_community-based_protection_structures;Establishment or support of community-based protection structures;إنشاء أو دعم هياكل الحماية المجتمعية
General_Protection_Establishment_of_Referral_pathway_for_IDPs;Establishment of Referral pathway for IDPs;إنشاء مسار الإحالة للنازحين
General_Protection_Participatory_protection_assessment;Participatory protection assessment;تقييم الحماية التشاركي
General_Protection_Community-based_complaint_mechanism;Community-based complaint mechanism;آلية الشكاوى المجتمعية
Protection_Monitoring;Protection Monitoring;مراقبة الحماية
Registration_of_IDPs;Registration of IDPs;تسجيل النازحين
Assistance_for_Civil_documentation_delivery;Assistance for Civil documentation delivery;المساعدة في تسليم الوثائق المدنية
Birth_certificate_delivery;Birth certificate delivery;تسليم شهادة الميلاد
Legal_assistance_or_counselling;Legal assistance or counselling (detention documentation law …);المساعدة أو الاستشارة القانونية (قانون توثيق الاحتجاز ...)
Awareness_sessions_on_rights_remedies_and_services;Awareness sessions on rights remedies and services;جلسات توعية حول التعويضات والخدمات الحقوقية
Legal_representation_assistance_before_courts_or_tribunal;Legal representation assistance before courts or tribunal;المساعدة في التمثيل القانوني أمام المحاكم أو الهيئات القضائية
Establishment_or_support_of_community-based_protection_structures;Establishment or support of community-based protection structures;إنشاء أو دعم هياكل الحماية المجتمعية
Establishment_of_Referral_pathway_for_IDPs;Establishment of Referral pathway for IDPs;إنشاء مسار الإحالة للنازحين
Participatory_protection_assessment;Participatory protection assessment;تقييم الحماية التشاركي
Community-based_complaint_mechanism;Community-based complaint mechanism;آلية الشكاوى المجتمعية
Child_Protection;Child Protection;حماية الطفل
Child_Protection_No_CHILD_PROTECTION_activity;No CHILD PROTECTION activity;لا يوجد نشاط لحماية الطفل
Child_Protection_Case_Management_services_for_children;Case Management services for children;خدمات إدارة الحالة للأطفال
Child_Protection_BIA_for_children;BIA for children;BIA للأطفال
Child_Protection_Referral_Pathway_for_children_at_risk;Referral Pathway for children at risk;مسار الإحالة للأطفال المعرضين للخطر
Child_Protection_Assistance_to_disabilities_children;Assistance to disabilities children;مساعدة الأطفال المعوقين
Child_Protection_Awareness_sessions_on_rights_remedies_and_services_on_CP;Awareness sessions on rights remedies and services on CP;جلسات توعية حول حقوق الانتصاف والخدمات على الإنتاج الأنظف
Child_Protection_Training_of_Child_Protection_workers;Training of Child Protection workers;تدريب العاملين في مجال حماية الطفل
Child_Protection_Sustainable_psychosocial_support;Sustainable psychosocial support;الدعم النفسي والاجتماعي المستدام
Child_Protection_Establishment_of_child_protection_community-based_protection_structures;Establishment of child protection community-based protection structures;إنشاء هياكل حماية مجتمعية لحماية الطفل
Child_Protection_Establishment_and_support_of_adolescent_clubs;Establishment and support of adolescent clubs;إنشاء ودعم نوادي المراهقين
Child_Protection_Training_of_community-based_child_protection_structure;Training of community-based child protection structure;تدريب هيكل حماية الطفل المجتمعي
Case_Management_services_for_children;Case Management services for children;خدمات إدارة الحالة للأطفال
BIA_for_children;BIA for children;BIA للأطفال
Referral_Pathway_for_children_at_risk;Referral Pathway for children at risk;مسار الإحالة للأطفال المعرضين للخطر
Assistance_to_disabilities_children;Assistance to disabilities children;مساعدة الأطفال المعوقين
Awareness_sessions_on_rights_remedies_and_services_on_CP;Awareness sessions on rights remedies and services on CP;جلسات توعية حول حقوق الانتصاف والخدمات على الإنتاج الأنظف
Training_of_Child_Protection_workers;Training of Child Protection workers;تدريب العاملين في مجال حماية الطفل
Sustainable_psychosocial_support;Sustainable psychosocial support;الدعم النفسي والاجتماعي المستدام
Establishment_of_child_protection_community-based_protection_structures;Establishment of child protection community-based protection structures;إنشاء هياكل حماية مجتمعية لحماية الطفل
Establishment_and_support_of_adolescent_clubs;Establishment and support of adolescent clubs;إنشاء ودعم نوادي المراهقين
Training_of_community-based_child_protection_structure;Training of community-based child protection structure;تدريب هيكل حماية الطفل المجتمعي
GBV;GBV;العنف القائم على النوع الاجتماعي
No_GBV_activity;No GBV activity;لا يوجد نشاط للعنف القائم على النوع الاجتماعي
GBV_case_management_services;GBV case management services;خدمات إدارة حالات العنف القائم على النوع الاجتماعي
Distribution_of_GBV_dignity_kit;Distribution of GBV dignity kit;توزيع حقيبة الكرامة الخاصة بالعنف القائم على النوع الاجتماعي
GBV_awareness_raising_sessions_to_IDP;GBV awareness raising sessions to IDP;جلسات توعية حول العنف المبني على النوع الإجتماعي للنازحين
Training_of_GBV_service_providers_on_GBV_prevention_and_response;Training of GBV service providers on GBV prevention and response;تدريب مقدمي خدمات العنف المبني على النوع الاجتماعي على الوقاية من العنف المبني على النوع الاجتماعي والاستجابة له
GBV_safety_audits;GBV safety audits;عمليات تدقيق سلامة العنف القائم على النوع الاجتماعي
GBV_counselling;GBV counselling (not including recreational activities);استشارات العنف المبني على النوع الاجتماعي (لا تشمل الأنشطة الترفيهية)
GBV_case_management_services;GBV case management services;خدمات إدارة حالات العنف القائم على النوع الاجتماعي
Distribution_of_GBV_dignity_kit;Distribution of GBV dignity kit;توزيع حقيبة الكرامة الخاصة بالعنف القائم على النوع الاجتماعي
GBV_awareness_raising_sessions_to_IDP;GBV awareness raising sessions to IDP;جلسات توعية حول العنف المبني على النوع الإجتماعي للنازحين
Training_of_GBV_service_providers_on_GBV_prevention_and_response;Training of GBV service providers on GBV prevention and response;تدريب مقدمي خدمات العنف المبني على النوع الاجتماعي على الوقاية من العنف المبني على النوع الاجتماعي والاستجابة له
GBV_safety_audits;GBV safety audits;عمليات تدقيق سلامة العنف القائم على النوع الاجتماعي
GBV_counselling;GBV counselling (not including recreational activities);استشارات العنف المبني على النوع الاجتماعي (لا تشمل الأنشطة الترفيهية)
WASH;WASH;غسل
WASH_No_WASH_activity;No WASH activity;لا يوجد نشاط WASH
WASH_Hygiene_promotion_campaigns;Hygiene promotion campaigns (house to house);حملات تعزيز النظافة (من منزل إلى منزل)
WASH_Hygiene_promotion_training_to_volunteers;Hygiene promotion training to volunteers;تدريب تعزيز النظافة للمتطوعين
WASH_Latrines_rehabilitation_and_construction;Latrines rehabilitation and construction;إعادة تأهيل وبناء المراحيض
WASH_provision_of_hygiene_kits_to_IDP_households;provision of hygiene kits to IDP households;توفير أدوات النظافة للأسر النازحة
WASH_Water_infrastructure_rehabilitation;Water infrastructure rehabilitation or construction/upgrading;إعادة تأهيل البنية التحتية للمياه أو تشييدها / تطويرها
WASH_Water_trucking_tankering;Water trucking/tankering;نقل المياه بالصهاريج / بالصهاريج
WASH_Provision_of_Latrine_dislodging_services;Provision of Latrine dislodging services;توفير خدمات طرد المرحاض
Hygiene_promotion_campaigns;Hygiene promotion campaigns (house to house);حملات تعزيز النظافة (من منزل إلى منزل)
Hygiene_promotion_training_to_volunteers;Hygiene promotion training to volunteers;تدريب تعزيز النظافة للمتطوعين
Latrines_rehabilitation_and_construction;Latrines rehabilitation and construction;إعادة تأهيل وبناء المراحيض
provision_of_hygiene_kits_to_IDP_households;provision of hygiene kits to IDP households;توفير أدوات النظافة للأسر النازحة
Water_infrastructure_rehabilitation;Water infrastructure rehabilitation or construction/upgrading;إعادة تأهيل البنية التحتية للمياه أو تشييدها / تطويرها
Water_trucking_tankering;Water trucking/tankering;نقل المياه بالصهاريج / بالصهاريج
Provision_of_Latrine_dislodging_services;Provision of Latrine dislodging services;توفير خدمات طرد المرحاض
CBI;CBI;CBI
CBI_No_CASH_related_activity;No CASH related activity;لا يوجد نشاط متعلق بالنقد النقدي
CBI_Cash_grants;Cash grants (in case of return only);المنح النقدية (في حالة العائد فقط)
CBI_Emergency_cash_assistance_to_vulnerable_PoC;Emergency cash assistance to vulnerable PoC;المساعدة النقدية الطارئة لحماية حماية المستهلك الضعيفة
Cash_grants;Cash grants (in case of return only);المنح النقدية (في حالة العائد فقط)
Emergency_cash_assistance_to_vulnerable_PoC;Emergency cash assistance to vulnerable PoC;المساعدة النقدية الطارئة لحماية حماية المستهلك الضعيفة
